,UUID,Substance
89,b16a9363-faff-4fc7-9a84-bc46cb1a5336,"(17β)-13-ethyl-3-methoxy-gona-1,3,5(10)-trien-17-yl acetate"
90,2e8356db-bb67-4489-94d9-b8e7ca6dae8f,(17β)-3-{[alkyl(dimethyl)silyl]substituted}-17-[(trimethylsilyl)substitued]estratetraene
91,d087a925-a5c8-4805-b1d3-b04f4a6c365f,(17β)-3-{[alkyl(dimethyl)silyl]substituted}estratetraen-17-ol
92,945d0e57-6182-43c3-9db5-e0e85b55b9c6,"(17β)-3-Methoxyestra-1,3,5(10)-trien-17-yl acetate"
93,078772c9-5a61-4fcf-98ba-cd0ee46fa87e,"(17β)-3-oxoestra-4,6-dien-17-yl acetate"
94,d121f174-db93-46f2-b490-b2c48f90c99d,(1-chlorocyclohexyl) cyclohexyl ketone
95,4d0339ca-9090-44fd-81f4-63c525f625b7,"(1E)-1-chloro-3,3,3-trifluoroprop-1-ene"
96,0360e21d-1363-45bd-b482-9bbc8b90b3d5,(1-ethoxyethoxy)cyclododecane
97,d223d2b6-68b6-4201-a23a-086bd362d808,(1-ethoxyethoxy)cyclododecane
98,e72e9a35-24ec-43d3-ac41-d54d66475891,(1-hydroxydodecylidene)diphosphonic acid [KELCOR; LIPOKEL; SEQUOL]
99,0f89b43f-a30d-4ae4-8d2d-56af9d9a7435,"(1-hydroxyethane-1,1-diyl)bis(phosphonic acid), compound with 2-aminoethanol (1:[?])"
100,57bd287f-6395-4126-9970-c7853a8b0d2e,"(1-hydroxyethylidene)bisphosphonic acid, potassium salt"
101,2413b33a-062b-4949-b4e0-c2c6a184d90e,"(1-methyl-1,2-ethanediyl)bis[oxy(methyl-2,1-ethanediyl)] diacrylate"
102,85c3a24d-384d-4f24-9ba2-de4a9fd54999,"(1-methylethyl)-1,1'-biphenyl"
103,e17ae518-0bfd-4d16-aa60-4195779d441a,"(1-methylethylidene)bis(4,1-phenyleneoxy-3,1-propanediyl) bismethacrylate"
104,51eceef9-45a4-48b7-8756-3cbf3facf194,"(1-methylethylidene)di-4,1-phenylenetetraphenyl diphosphate"
105,bb189383-8463-48a2-b3f2-e54fd6994d5e,"(1-methylethylidene)di-4,1-phenylenetetraphenyl diphosphate"
106,d5e2db02-a0ce-435c-a8f8-f5facfa052a4,"(1-methylethylidene)di-4,1-phenylenetetraphenyl diphosphate"
107,f8077290-e19c-487f-b9fc-79aac17ae7cd,"(1-methylethylidene)di-4,1-phenylenetetraphenyl diphosphate"
108,56e4dc15-c224-426f-906e-e5c23d07ef15,(1-methylpropylidene)bis[tert-butyl] peroxide
109,9a363269-b1a7-415b-ae5a-ac648f3b43b7,(1-naphthylmethyl)(tetrahydrofuran-2-ylmethyl)malonic acid hydrate (1:1)
110,393e1b38-cdbd-447a-8d31-944bc999b499,"(1R)-[7,7-dimethyl-2-oxobicyclo[2.2.1]hept-1-yl]methanesulphonic acid"
111,b3010d83-9439-43aa-920a-743b1f7e3aeb,(1R)-1-(4-methylphenyl)ethylamine (2S)-5-oxopyrrolidine-2-carboxylate
112,d54e033e-c512-4d3a-bf16-1d2d826ac907,"(1R)-1-[(2R)-6-fluoro-3,4-dihydro-2H-1-benzopyran-2-yl]-1,2-Ethanediol"
113,0397919f-b8e9-4713-a556-e2edd7ac5fb6,"(1R)-1-[(4R,4aR,8aS)-2,6-bis(3,4-dimethylphenyl)tetrahydro[1,3]dioxino[5,4-d][1,3]dioxin-4-yl]ethane-1,2-diol"
114,067b38b8-f846-4128-abde-147a33ccb2ed,"(1R)-1-[(4R,4aR,8aS)-2,6-bis(3,4-dimethylphenyl)tetrahydro[1,3]dioxino[5,4-d][1,3]dioxin-4-yl]ethane-1,2-diol"
115,0e82f94a-510a-44e6-9fd0-b517ba7f72a2,"(1R)-1-[(4R,4aR,8aS)-2,6-bis(3,4-dimethylphenyl)tetrahydro[1,3]dioxino[5,4-d][1,3]dioxin-4-yl]ethane-1,2-diol"
